[34m[1mwandb[0m: Initializing weave.
/home/hannah/.venv/lib/python3.12/site-packages/pydantic/_internal/_generate_schema.py:648: ArbitraryTypeWarning: <built-in function allocate_lock> is not a Python type (it may be an instance of an object), Pydantic will allow any object with no validation since we cannot even enforce that the input is an instance of the given type. To get rid of this error wrap the type with `pydantic.SkipValidation`.
  warnings.warn(
[36m[1mweave[0m: Logged in as Weights & Biases user: hannahvanderh.
[36m[1mweave[0m: View Weave data at https://wandb.ai/hannahvanderh-colorado-state-university/huggingface/weave
  0%|                                                                                                                                                     | 0/1476 [00:00<?, ?it/s][transformers] `causal_conv1d_fn` is falling back to its reference PyTorch implementation because `causal_conv1d` is not installed. This is correct but much slower; install `causal_conv1d` for the optimized kernel.
[transformers] `chunk_gated_delta_rule` is falling back to its reference PyTorch implementation because `flash-linear-attention` is not installed. This is correct but much slower; install `flash-linear-attention` for the optimized kernel.
                                                                                                                                                                                   
{'loss': '0.7519', 'grad_norm': '2.835', 'learning_rate': '6.803e-08', 'rewards/chosen': '2.013', 'rewards/rejected': '1.848', 'rewards/accuracies': '0.5375', 'rewards/margins': '0.1652', 'logps/chosen': '-75.61', 'logps/rejected': '-72.51', 'logits/chosen': '-1.359', 'logits/rejected': '-1.385', 'epoch': '0.01358'}
{'loss': '0.8123', 'grad_norm': '3.686', 'learning_rate': '1.531e-07', 'rewards/chosen': '2.035', 'rewards/rejected': '2.079', 'rewards/accuracies': '0.4625', 'rewards/margins': '-0.04395', 'logps/chosen': '-68.84', 'logps/rejected': '-74.88', 'logits/chosen': '-1.414', 'logits/rejected': '-1.403', 'epoch': '0.02716'}
{'loss': '0.7812', 'grad_norm': '2.045', 'learning_rate': '2.381e-07', 'rewards/chosen': '2.139', 'rewards/rejected': '2.145', 'rewards/accuracies': '0.525', 'rewards/margins': '-0.006319', 'logps/chosen': '-69.97', 'logps/rejected': '-76.12', 'logits/chosen': '-1.428', 'logits/rejected': '-1.364', 'epoch': '0.04073'}
{'loss': '0.94', 'grad_norm': '3.378', 'learning_rate': '3.231e-07', 'rewards/chosen': '1.979', 'rewards/rejected': '2.178', 'rewards/accuracies': '0.4125', 'rewards/margins': '-0.1989', 'logps/chosen': '-70.89', 'logps/rejected': '-75.34', 'logits/chosen': '-1.409', 'logits/rejected': '-1.38', 'epoch': '0.05431'}
{'loss': '0.7601', 'grad_norm': '2.679', 'learning_rate': '4.082e-07', 'rewards/chosen': '2.058', 'rewards/rejected': '1.956', 'rewards/accuracies': '0.5', 'rewards/margins': '0.1023', 'logps/chosen': '-72.99', 'logps/rejected': '-73.44', 'logits/chosen': '-1.384', 'logits/rejected': '-1.395', 'epoch': '0.06789'}
{'loss': '0.8238', 'grad_norm': '2.828', 'learning_rate': '4.932e-07', 'rewards/chosen': '2.063', 'rewards/rejected': '2.091', 'rewards/accuracies': '0.4875', 'rewards/margins': '-0.02846', 'logps/chosen': '-71.41', 'logps/rejected': '-75.09', 'logits/chosen': '-1.414', 'logits/rejected': '-1.38', 'epoch': '0.08147'}
{'loss': '0.7728', 'grad_norm': '2.733', 'learning_rate': '5.782e-07', 'rewards/chosen': '2.167', 'rewards/rejected': '2.1', 'rewards/accuracies': '0.45', 'rewards/margins': '0.06757', 'logps/chosen': '-75.66', 'logps/rejected': '-78.34', 'logits/chosen': '-1.361', 'logits/rejected': '-1.356', 'epoch': '0.09504'}
{'loss': '0.7888', 'grad_norm': '2.258', 'learning_rate': '6.633e-07', 'rewards/chosen': '1.934', 'rewards/rejected': '1.934', 'rewards/accuracies': '0.5125', 'rewards/margins': '0.0003333', 'logps/chosen': '-70.75', 'logps/rejected': '-75.56', 'logits/chosen': '-1.435', 'logits/rejected': '-1.376', 'epoch': '0.1086'}
{'loss': '0.8095', 'grad_norm': '3.455', 'learning_rate': '7.483e-07', 'rewards/chosen': '2.044', 'rewards/rejected': '2.017', 'rewards/accuracies': '0.575', 'rewards/margins': '0.02668', 'logps/chosen': '-72.81', 'logps/rejected': '-75.35', 'logits/chosen': '-1.389', 'logits/rejected': '-1.391', 'epoch': '0.1222'}
{'loss': '0.7148', 'grad_norm': '2.277', 'learning_rate': '8.333e-07', 'rewards/chosen': '2.126', 'rewards/rejected': '1.982', 'rewards/accuracies': '0.5125', 'rewards/margins': '0.1442', 'logps/chosen': '-75.03', 'logps/rejected': '-74.52', 'logits/chosen': '-1.386', 'logits/rejected': '-1.386', 'epoch': '0.1358'}
{'loss': '0.8327', 'grad_norm': '2.727', 'learning_rate': '9.184e-07', 'rewards/chosen': '2.122', 'rewards/rejected': '2.069', 'rewards/accuracies': '0.45', 'rewards/margins': '0.05316', 'logps/chosen': '-76.02', 'logps/rejected': '-78', 'logits/chosen': '-1.367', 'logits/rejected': '-1.365', 'epoch': '0.1494'}
