temp,struct,category,startProgress,overallProgress,deltaProgress,d1Selected,d2Selected,d3Selected,endDistance,deltaDistance,endIou,deltaIou,endCompletion,deltaCompletion,endPositionAccuracy,deltaPositionAccuracy
A,1_1,empty,0.037,0.126,0.089,4,2,4,0.240,0.240,0.136,0.136,0.130,0.130,0.111,0.000
A,1_2,empty,0.037,0.126,0.089,10,3,5,0.240,0.240,0.136,0.136,0.130,0.130,0.111,0.000
A,2_1,firstTwoLayers,0.63,0.698,0.068,4,5,4,0.889,0.032,0.800,0.050,0.739,0.043,0.556,0.111
A,2_2,firstTwoLayers,0.63,0.686,0.055,10,5,2,0.865,0.008,0.762,0.012,0.739,0.043,0.556,0.111
A,3_1,D1Wall,0.347,0.342,-0.005,1,5,6,0.500,-0.016,0.333,-0.014,0.360,0.000,0.333,0.000
A,3_2,D1Wall,0.347,0.468,0.121,2,4,3,0.647,0.131,0.478,0.130,0.480,0.120,0.444,0.111
A,4_1,firstTwoLayers,0.634,0.648,0.014,5,8,7,0.865,0.000,0.762,0.000,0.739,0.043,0.444,0.000
A,4_2,firstTwoLayers,0.634,0.716,0.082,4,7,8,0.895,0.030,0.810,0.048,0.783,0.087,0.556,0.111
A,5_1,D3Wall,0.412,0.43,0.018,6,6,0,0.606,0.035,0.435,0.035,0.522,0.130,0.333,-0.111
A,5_2,D3Wall,0.412,0.474,0.062,6,8,3,0.667,0.095,0.500,0.100,0.478,0.087,0.444,0.000
A,6_1,D3Wall,0.342,0.338,-0.004,5,4,3,0.485,-0.015,0.320,-0.013,0.360,0.000,0.333,0.000
A,6_2,D3Wall,0.342,0.352,0.009,10,6,2,0.486,-0.014,0.321,-0.012,0.400,0.040,0.333,0.000
A,7_1,D3Wall,0.363,0.357,-0.006,5,0,5,0.533,-0.018,0.364,-0.017,0.375,0.000,0.333,0.000
A,7_2,D3Wall,0.363,0.357,-0.006,3,2,7,0.533,-0.018,0.364,-0.017,0.375,0.000,0.333,0.000
A,8_1,D2Wall,0.418,0.297,-0.121,10,5,4,0.519,-0.053,0.350,-0.050,0.318,-0.091,0.222,-0.222
A,8_2,D2Wall,0.418,0.403,-0.015,3,5,4,0.571,0.000,0.400,0.000,0.364,-0.045,0.444,0.000
A,9_1,firstLayer,0.308,0.312,0.004,3,5,1,0.500,-0.038,0.333,-0.035,0.381,0.048,0.222,0.000
A,9_2,firstLayer,0.308,0.296,-0.012,8,5,2,0.500,-0.038,0.333,-0.035,0.333,0.000,0.222,0.000
A,10_1,empty,0.0,0.142,0.142,11,4,2,0.370,0.370,0.227,0.227,0.200,0.200,0.000,0.000
A,10_2,empty,0.0,0.056,0.056,4,5,5,0.160,0.160,0.087,0.087,0.080,0.080,0.000,0.000
A,11_1,D3Wall,0.418,0.427,0.01,2,5,10,0.600,0.029,0.429,0.029,0.409,0.000,0.444,0.000
A,11_2,D3Wall,0.418,0.411,-0.006,6,6,3,0.552,-0.020,0.381,-0.019,0.409,0.000,0.444,0.000
A,12_1,D2Wall,0.418,0.0,-0.418,7,5,7,0.571,0.000,0.400,0.000,0.409,0.000,0.444,0.000
A,12_2,D2Wall,0.418,0.458,0.041,3,8,5,0.645,0.074,0.476,0.076,0.455,0.045,0.444,0.000
A,13_1,D2Wall,0.342,0.0,-0.342,4,2,8,0.500,0.000,0.333,0.000,0.360,0.000,0.333,0.000
A,13_2,D2Wall,0.342,0.342,0.0,10,3,1,0.500,0.000,0.333,0.000,0.360,0.000,0.333,0.000
A,14_1,D2Wall,0.352,0.338,-0.014,10,4,0,0.516,0.000,0.348,0.000,0.333,-0.042,0.333,0.000
A,14_2,D2Wall,0.352,0.343,-0.009,9,5,2,0.485,-0.031,0.320,-0.028,0.375,0.000,0.333,0.000
A,15_1,empty,0.074,0.074,0.0,2,4,5,0.000,0.000,0.000,0.000,0.000,0.000,0.222,0.000
A,15_2,empty,0.074,0.074,0.0,5,3,6,0.000,0.000,0.000,0.000,0.000,0.000,0.222,0.000
A,16_1,empty,0.0,0.082,0.082,6,1,6,0.214,0.214,0.120,0.120,0.125,0.125,0.000,0.000
A,16_2,empty,0.0,0.054,0.054,6,3,5,0.148,0.148,0.080,0.080,0.083,0.083,0.000,0.000
A,17_1,empty,0.037,0.08,0.043,6,0,3,0.154,0.154,0.083,0.083,0.045,0.045,0.111,0.000
A,17_2,empty,0.037,0.069,0.032,2,3,4,0.095,0.095,0.050,0.050,0.045,0.045,0.111,0.000
A,18_1,D1Wall,0.342,0.369,0.027,7,5,1,0.545,0.045,0.375,0.042,0.400,0.040,0.333,0.000
A,18_2,D1Wall,0.342,0.338,-0.004,5,4,8,0.485,-0.015,0.320,-0.013,0.360,0.000,0.333,0.000
A,19_1,D1Wall,0.476,0.468,-0.008,1,5,1,0.593,-0.023,0.421,-0.023,0.429,0.000,0.556,0.000
A,19_2,D1Wall,0.476,0.502,0.026,6,2,6,0.643,0.027,0.474,0.029,0.476,0.048,0.556,0.000
A,20_1,empty,0.0,0.073,0.073,8,5,2,0.240,0.240,0.136,0.136,0.083,0.083,0.000,0.000
A,20_2,empty,0.0,0.06,0.06,11,0,6,0.174,0.174,0.095,0.095,0.083,0.083,0.000,0.000
